,Symbol,Company Name,Market Cap,% Change,Volume,Revenue
219,BHM,"Bluerock Homes Trust, Inc.",149.66M,0.61%,403,58.20M
220,RPT,Rithm Property Trust Inc.,141.26M,-0.64%,60549,-55.49M
221,LFT,"Lument Finance Trust, Inc.",140.93M,-0.19%,30410,36.40M
222,ACR,ACRES Commercial Realty Corp.,135.87M,1.44%,511,77.44M
223,CHMI,Cherry Hill Mortgage Investment Corporation,110.24M,-0.59%,200046,-2.60M
224,STHO,Star Holdings,110.15M,2.61%,59857,117.75M
225,AIRE,reAlpha Tech Corp.,83.47M,4.00%,115170,379.24K
226,MAYS,"J.W. Mays, Inc.",80.61M,-0.03%,290,21.81M
227,SUNS,"Sunrise Realty Trust, Inc.",79.37M,-1.04%,38720,734.23K
228,CHCI,"Comstock Holding Companies, Inc.",77.73M,1.95%,808,45.40M
229,LOAN,"Manhattan Bridge Capital, Inc.",63.80M,-0.76%,3519,7.39M
230,OPAD,Offerpad Solutions Inc.,59.08M,6.13%,9159,985.01M
231,SELF,"Global Self Storage, Inc.",58.04M,-0.58%,1087,12.32M
232,RFL,"Rafael Holdings, Inc.",51.82M,-0.47%,5290,697.00K
233,OPI,Office Properties Income Trust,51.22M,-1.75%,73354,517.51M
234,SACH,Sachem Capital Corp.,48.37M,-0.01%,95629,10.95M
235,AHT,"Ashford Hospitality Trust, Inc.",43.48M,2.66%,4143,1.22B
236,IHT,InnSuites Hospitality Trust,30.47M,-0.97%,127,7.69M
237,NYC,American Strategic Investment Co.,28.85M,-3.65%,4453,62.06M
238,ASPS,Altisource Portfolio Solutions S.A.,27.77M,2.00%,56331,153.28M
239,MKZR,"MacKenzie Realty Capital, Inc.",27.25M,2.04%,7229,17.56M
240,FTHM,Fathom Holdings Inc.,26.69M,-0.84%,4374,317.52M
241,LRE,"Lead Real Estate Co., Ltd",23.48M,4.93%,2488,117.80M
242,DUO,Fangdd Network Group Ltd.,20.16M,10.84%,33386338,37.35M
243,GYRO,"Gyrodyne, LLC",19.79M,-,156,2.74M
244,MDRR,"Medalist Diversified REIT, Inc.",17.88M,-0.11%,925,9.92M
245,WETH,Wetouch Technology Inc.,17.72M,2.41%,351284,41.02M
246,SOHO,Sotherly Hotels Inc.,16.59M,-0.62%,150,179.86M
247,XIN,"Xinyuan Real Estate Co., Ltd.",16.27M,3.35%,26112,667.14M
248,XHG,XChange TEC.INC,12.47M,-3.98%,150447,41.11M
249,AEI,Alset Inc.,11.86M,18.56%,465953,13.19M
250,GIPR,"Generation Income Properties, Inc.",9.22M,-1.16%,10475,10.22M
251,OMH,Ohmyhome Limited,8.33M,9.30%,66158,5.39M
252,SQFT,"Presidio Property Trust, Inc.",7.61M,4.20%,7579,18.59M
253,CMCT,Creative Media & Community Trust Corporation,7.25M,0.16%,41804,124.60M
254,GBR,"New Concept Energy, Inc.",6.11M,1.71%,22701,147.00K
255,LRHC,La Rosa Holdings Corp.,5.97M,5.07%,9252928,63.17M
256,PW,Power REIT,3.95M,-2.09%,14093,3.15M
257,ALBT,Avalon GloboCare Corp.,3.73M,-4.21%,4779,-8.32M
258,UOKA,MDJM Ltd,2.87M,3.17%,2099887,114.85K
259,SGD,Safe and Green Development Corporation,2.01M,-4.33%,37907,173.19K
260,UK,Ucommune International Ltd,1.61M,-1.75%,10042,42.47M
261,WHLR,"Wheeler Real Estate Investment Trust, Inc.",1.42M,-0.69%,102932,102.75M
