,Symbol,Company Name,Market Cap,% Change,Volume,Revenue
210,LGO,Largo Inc.,124.13M,-3.57%,150543,144.82M
211,GRO,Brazil Potash Corp.,123.64M,-7.86%,127213,-
212,CTGO,"Contango Ore, Inc.",121.73M,1.27%,66282,-
213,FRD,"Friedman Industries, Incorporated",119.89M,0.12%,2166,447.62M
214,ORGN,"Origin Materials, Inc.",118.70M,-2.91%,471049,35.12M
215,USAU,U.S. Gold Corp.,118.55M,1.43%,200631,-
216,NB,NioCorp Developments Ltd.,115.87M,-5.17%,45547,-
217,CMT,"Core Molding Technologies, Inc.",114.63M,-2.21%,23446,313.66M
218,ACNT,Ascent Industries Co.,112.64M,-2.00%,53983,178.42M
219,ALTO,"Alto Ingredients, Inc.",111.90M,-1.74%,104038,1.00B
220,NTIC,Northern Technologies International Corporation,106.26M,-0.62%,1616,86.22M
221,THM,International Tower Hill Mines Ltd.,99.10M,-1.45%,29601,-
222,ABAT,American Battery Technology Company,96.98M,-4.92%,695173,545.46K
223,HLP,Hongli Group Inc.,95.47M,-4.41%,353638,14.05M
224,TRX,TRX Gold Corporation,92.14M,-0.03%,21210,44.28M
225,ATLX,Atlas Lithium Corporation,90.49M,3.74%,123540,543.66K
226,VGZ,Vista Gold Corp.,82.40M,1.36%,168419,-
227,LODE,Comstock Inc.,77.28M,-1.61%,39761,1.86M
228,FSI,"Flexible Solutions International, Inc.",76.23M,-1.29%,45102,38.49M
229,NVA,Nova Minerals Limited,70.96M,2.50%,19356,-
230,HYMC,Hycroft Mining Holding Corporation,70.18M,9.00%,191896,-
231,FURY,Fury Gold Mines Limited,61.42M,-1.00%,62756,-
232,XPL,Solitario Resources Corp.,59.03M,2.10%,43792,-
233,WWR,"Westwater Resources, Inc.",57.62M,3.40%,25378,-
234,LOOP,"Loop Industries, Inc.",52.14M,-0.45%,16302,126.00K
235,AREC,American Resources Corporation,49.10M,0.11%,128894,399.96K
236,LITM,Snow Lake Resources Ltd.,47.25M,3.08%,7614402,-
237,GTI,Graphjet Technology,44.68M,-1.94%,556007,-
238,GORO,Gold Resource Corporation,30.40M,1.20%,56357,73.90M
239,ELBM,Electra Battery Materials Corporation,25.56M,4.71%,15129,-
240,HUDI,"Huadi International Group Co., Ltd.",25.52M,5.73%,278698,74.27M
241,NWGL,Nature Wood Group Limited,25.33M,7.75%,1536,21.71M
242,AUST,Austin Gold Corp.,22.13M,6.22%,205545,-
243,PZG,Paramount Gold Nevada Corp.,21.95M,-0.24%,137742,-
244,INHD,Inno Holdings Inc.,20.69M,-3.30%,5686,885.50K
245,FEAM,"5E Advanced Materials, Inc.",18.86M,-17.56%,137849,-
246,ENFY,Enlightify Inc.,18.64M,1.59%,2800,90.81M
247,JCTC,Jewett-Cameron Trading Company Ltd.,16.36M,-2.31%,1493,46.61M
248,SEED,Origin Agritech Limited,16.34M,-5.02%,19692,16.16M
249,CAPT,Captivision Inc.,13.94M,1.31%,862170,17.39M
250,OMEX,"Odyssey Marine Exploration, Inc.",13.56M,0.26%,54557,799.14K
251,ZKIN,"ZK International Group Co., Ltd.",11.41M,-1.34%,32950,108.20M
252,NITO,"N2OFF, Inc.",11.18M,-3.99%,187114,175.31K
253,FMST,Foremost Clean Energy Ltd.,9.77M,-7.93%,1981,-
254,RETO,"ReTo Eco-Solutions, Inc.",8.35M,15.70%,394235,3.84M
255,GURE,"Gulf Resources, Inc.",8.31M,3.33%,4598,12.80M
256,BHIL,"Benson Hill, Inc.",7.40M,-5.12%,35755,466.73M
257,BGLC,BioNexus Gene Lab Corp.,6.76M,-0.23%,33845,9.26M
258,GRFX,Graphex Group Limited,6.18M,-1.15%,15705,30.02M
259,BON,Bon Natural Life Limited,5.25M,-0.79%,5216,23.84M
260,ITP,"IT Tech Packaging, Inc.",3.28M,0.84%,7239,79.16M
261,SNES,"SenesTech, Inc.",3.13M,0.38%,506,1.65M
262,CRKN,Crown Electrokinetics Corp.,2.31M,-5.63%,53896,13.46M
263,FMTO,Femto Technologies Inc.,2.29M,5.56%,19946,754.77K
264,CNEY,CN Energy Group. Inc.,2.01M,0.04%,205600,66.51M
