,Symbol,Company Name,Market Cap,% Change,Volume,Revenue
204,UBSI,"United Bankshares, Inc.",5.23B,0.75%,366989,1.01B
205,HWC,Hancock Whitney Corporation,5.21B,0.72%,338332,1.39B
206,PIPR,Piper Sandler Companies,5.21B,1.10%,82706,1.53B
207,SIGI,"Selective Insurance Group, Inc.",5.20B,2.50%,410626,4.86B
208,FLG,"Flagstar Financial, Inc.",5.10B,3.36%,5821939,1.62B
209,RDN,Radian Group Inc.,5.10B,0.85%,1227189,1.29B
210,SFBS,"ServisFirst Bancshares, Inc.",5.10B,2.64%,94161,460.13M
211,FCFS,"FirstCash Holdings, Inc.",5.10B,1.10%,222229,3.39B
212,BBAR,Banco BBVA Argentina S.A.,4.91B,-0.90%,440074,2.19B
213,BWIN,"The Baldwin Insurance Group, Inc.",4.88B,1.10%,252156,1.34B
214,WTM,"White Mountains Insurance Group, Ltd.",4.87B,0.79%,14286,2.73B
215,LAZ,"Lazard, Inc.",4.86B,2.93%,1048041,3.05B
216,ESGR,Enstar Group Limited,4.80B,0.11%,52013,1.07B
217,AGO,Assured Guaranty Ltd.,4.75B,0.94%,151836,867.00M
218,ABCB,Ameris Bancorp,4.67B,1.39%,315228,1.08B
219,AB,AllianceBernstein Holding L.P.,4.52B,1.84%,473353,134.10M
220,BGC,"BGC Group, Inc.",4.50B,-2.49%,1580999,2.12B
221,CNS,"Cohen & Steers, Inc.",4.47B,1.40%,221727,517.42M
222,KMPR,Kemper Corporation,4.39B,3.86%,684247,4.64B
223,VCTR,"Victory Capital Holdings, Inc.",4.27B,0.61%,248814,866.90M
224,IBOC,International Bancshares Corporation,4.19B,0.88%,183061,799.36M
225,CNO,"CNO Financial Group, Inc.",4.13B,1.70%,384956,4.52B
226,AX,"Axos Financial, Inc.",4.13B,1.66%,383922,1.18B
227,ASB,Associated Banc-Corp,4.12B,1.53%,1151732,952.86M
228,NNI,"Nelnet, Inc.",4.09B,1.27%,23376,1.26B
229,GBDC,"Golub Capital BDC, Inc.",4.06B,-2.30%,3414935,724.68M
230,UCB,"United Community Banks, Inc.",4.06B,1.58%,558100,901.17M
231,BANF,BancFirst Corporation,4.05B,1.29%,72220,622.45M
232,GSHD,"Goosehead Insurance, Inc",3.94B,0.69%,362240,282.56M
233,RIOT,"Riot Platforms, Inc.",3.90B,-4.48%,22838096,312.91M
234,EBC,"Eastern Bankshares, Inc.",3.83B,1.88%,862621,664.13M
235,TFSL,TFS Financial Corporation,3.82B,-0.07%,176292,304.58M
236,TCBI,"Texas Capital Bancshares, Inc.",3.81B,3.06%,582315,865.35M
237,FULT,Fulton Financial Corporation,3.75B,1.38%,649837,1.13B
238,WU,The Western Union Company,3.72B,6.07%,15283162,4.21B
239,APAM,Artisan Partners Asset Management Inc.,3.60B,0.52%,912510,1.11B
240,SNEX,StoneX Group Inc.,3.57B,2.81%,194314,106.99B
241,IFS,Intercorp Financial Services Inc.,3.56B,1.64%,229839,1.21B
242,FHB,"First Hawaiian, Inc.",3.54B,1.23%,707995,793.79M
243,CBU,"Community Financial System, Inc.",3.53B,0.69%,94829,723.53M
244,BHF,"Brighthouse Financial, Inc.",3.53B,-0.77%,929643,4.86B
245,HTGC,"Hercules Capital, Inc.",3.46B,-0.19%,824026,494.41M
246,FIBK,"First Interstate BancSystem, Inc.",3.45B,1.82%,349352,931.90M
247,AUB,Atlantic Union Bankshares Corporation,3.44B,0.47%,679360,767.33M
248,HGTY,"Hagerty, Inc.",3.43B,2.13%,49759,1.15B
249,WSFS,WSFS Financial Corporation,3.43B,2.32%,282092,984.95M
250,FBP,First BanCorp.,3.39B,0.39%,590033,878.28M
251,CATY,Cathay General Bancorp,3.34B,-0.04%,338377,692.22M
252,WD,"Walker & Dunlop, Inc.",3.22B,0.42%,150417,986.07M
253,GNW,"Genworth Financial, Inc.",3.17B,1.37%,3477093,7.43B
254,AVAL,Grupo Aval Acciones y Valores S.A.,3.15B,-0.73%,38863,2.75B
