,Symbol,Company Name,Market Cap,% Change,Volume,Revenue
136,WIX,Wix.com Ltd.,12.59B,-1.13%,485393,1.70B
137,AUR,"Aurora Innovation, Inc.",12.36B,4.05%,9467788,-
138,MANH,"Manhattan Associates, Inc.",12.23B,2.14%,707144,1.04B
139,SNX,TD SYNNEX Corporation,12.09B,1.99%,587147,58.45B
140,YMM,Full Truck Alliance Co. Ltd.,12.03B,-0.43%,9249372,1.49B
141,JNPR,"Juniper Networks, Inc.",11.95B,1.21%,6319409,5.07B
142,ESTC,Elastic N.V.,11.89B,-0.62%,755866,1.38B
143,GTLB,GitLab Inc.,11.87B,2.37%,2562864,711.60M
144,PCTY,Paylocity Holding Corporation,11.66B,-0.81%,713943,1.45B
145,PAYC,"Paycom Software, Inc.",11.52B,0.43%,518151,1.82B
146,PCOR,"Procore Technologies, Inc.",11.51B,-0.23%,999108,1.11B
147,FOUR,"Shift4 Payments, Inc.",10.83B,1.76%,848945,3.15B
148,NICE,NICE Ltd.,10.78B,2.19%,518867,2.64B
149,DAY,Dayforce Inc.,10.41B,-8.00%,5907706,1.76B
150,ONTO,Onto Innovation Inc.,10.36B,4.56%,715013,942.24M
151,DBX,"Dropbox, Inc.",10.11B,0.77%,2175687,2.54B
152,KD,"Kyndryl Holdings, Inc.",10.09B,8.84%,5095679,15.11B
153,MTSI,"MACOM Technology Solutions Holdings, Inc.",10.09B,2.36%,847381,729.58M
154,DSGX,The Descartes Systems Group Inc.,10.06B,1.36%,146168,631.76M
155,BILL,"BILL Holdings, Inc.",10.04B,0.92%,1479750,1.34B
156,DOX,Amdocs Limited,9.94B,1.47%,1647377,4.87B
157,CFLT,"Confluent, Inc.",9.63B,0.69%,2444680,915.61M
158,ALTR,Altair Engineering Inc.,9.41B,0.05%,636888,644.66M
159,TTAN,"ServiceTitan, Inc.",9.32B,-0.37%,241968,724.36M
160,PEGA,Pegasystems Inc.,9.30B,-0.08%,822543,1.48B
161,GLOB,Globant S.A.,9.24B,-0.33%,290386,2.35B
162,IONQ,"IonQ, Inc.",9.16B,1.10%,13366697,37.47M
163,VERX,"Vertex, Inc.",9.07B,1.64%,456535,643.23M
164,ENPH,"Enphase Energy, Inc.",8.82B,-1.49%,8262301,1.33B
165,G,Genpact Limited,8.71B,0.10%,1145074,4.66B
166,CACI,CACI International Inc,8.52B,-1.62%,286689,8.13B
167,U,Unity Software Inc.,8.50B,-1.68%,4978898,1.97B
168,EXLS,"ExlService Holdings, Inc.",8.32B,2.09%,1102320,1.77B
169,APPF,"AppFolio, Inc.",8.28B,-0.49%,424313,794.20M
170,PSN,Parsons Corporation,8.24B,-0.72%,979416,6.51B
171,PATH,UiPath Inc.,8.18B,3.12%,7612827,1.41B
172,SATS,EchoStar Corporation,8.14B,3.79%,1119575,16.02B
173,OTEX,Open Text Corporation,7.96B,3.47%,524659,5.61B
174,INFA,Informatica Inc.,7.95B,0.46%,823706,1.66B
175,S,"SentinelOne, Inc.",7.74B,1.69%,3331188,770.12M
176,QRVO,"Qorvo, Inc.",7.71B,0.85%,1885858,3.79B
177,FN,Fabrinet,7.69B,3.22%,1371715,3.12B
178,LSCC,Lattice Semiconductor Corporation,7.65B,1.22%,2179800,562.58M
179,CVLT,"Commvault Systems, Inc.",7.52B,2.23%,436337,943.87M
180,MKSI,"MKS Instruments, Inc.",7.51B,-0.30%,906013,3.54B
181,WEX,WEX Inc.,7.43B,1.48%,446962,2.63B
182,CCCS,CCC Intelligent Solutions Holdings Inc.,7.26B,1.00%,4566471,926.94M
183,NVMI,Nova Ltd.,7.22B,2.94%,138342,611.85M
184,RMBS,Rambus Inc.,7.22B,5.14%,1534344,556.62M
185,OS,"OneStream, Inc.",7.21B,0.34%,799424,459.53M
186,ASTS,"AST SpaceMobile, Inc.",7.16B,7.02%,10803243,2.50M
187,CWAN,"Clearwater Analytics Holdings, Inc.",7.12B,0.95%,839319,424.36M
188,HCP,"HashiCorp, Inc.",6.98B,-0.20%,6132594,654.89M
189,OLED,Universal Display Corporation,6.92B,0.03%,530061,643.71M
190,SPSC,"SPS Commerce, Inc.",6.84B,0.54%,266562,611.82M
191,NXT,Nextracker Inc.,6.83B,-5.75%,6121457,2.77B
192,CGNX,Cognex Corporation,6.68B,1.35%,943117,881.50M
193,BMI,"Badger Meter, Inc.",6.51B,2.17%,211695,826.56M
194,SRAD,Sportradar Group AG,6.39B,0.61%,485666,1.17B
195,AMKR,"Amkor Technology, Inc.",6.14B,2.64%,1105380,6.44B
196,LITE,Lumentum Holdings Inc.,6.13B,3.31%,2804951,1.38B
197,ARW,"Arrow Electronics, Inc.",6.04B,0.98%,768255,28.49B
198,QXO,"QXO, Inc.",5.90B,1.62%,2770632,56.84M
199,SOUN,"SoundHound AI, Inc.",5.85B,0.64%,40506760,67.30M
200,VNT,Vontier Corporation,5.84B,2.05%,357799,2.99B
201,CRUS,"Cirrus Logic, Inc.",5.81B,7.84%,1831569,1.84B
202,INGM,Ingram Micro Holding Corporation,5.79B,3.66%,271498,47.66B
203,LFUS,"Littelfuse, Inc.",5.79B,0.93%,132728,2.19B
204,INTA,"Intapp, Inc.",5.77B,-1.21%,3076026,465.03M
205,ACIW,"ACI Worldwide, Inc.",5.75B,2.10%,741279,1.62B
206,SMTC,Semtech Corporation,5.73B,0.36%,1073606,851.23M
207,WK,Workiva Inc.,5.72B,2.62%,555852,705.44M
208,CLBT,Cellebrite DI Ltd.,5.67B,2.12%,995435,385.17M
209,QTWO,"Q2 Holdings, Inc.",5.64B,-1.75%,767592,675.54M
210,FRSH,Freshworks Inc.,5.60B,0.05%,3199698,685.96M
211,TSEM,Tower Semiconductor Ltd.,5.60B,0.97%,666887,1.40B
212,LYFT,"Lyft, Inc.",5.57B,-4.62%,22572181,5.46B
213,NSIT,"Insight Enterprises, Inc.",5.53B,0.86%,603242,8.87B
214,NOVT,Novanta Inc.,5.35B,0.66%,119764,922.75M
215,QLYS,"Qualys, Inc.",5.34B,1.77%,407392,592.95M
216,SAIC,Science Applications International Corporation,5.23B,-0.80%,446753,7.38B
217,SITM,SiTime Corporation,5.21B,3.90%,409696,202.70M
218,TENB,"Tenable Holdings, Inc.",5.19B,0.44%,2212863,900.02M
219,ASAN,"Asana, Inc.",5.07B,1.00%,1860301,706.68M
220,GDS,GDS Holdings Limited,5.04B,-0.46%,836799,1.56B
221,RELY,"Remitly Global, Inc.",5.03B,4.96%,2421045,1.18B
222,BOX,"Box, Inc.",4.92B,1.39%,1056914,1.07B
223,VRNS,"Varonis Systems, Inc.",4.88B,-7.41%,8366114,550.95M
224,SLAB,Silicon Laboratories Inc.,4.84B,9.12%,793277,584.39M
225,ITRI,"Itron, Inc.",4.81B,1.56%,463089,2.41B
226,SANM,Sanmina Corporation,4.75B,-0.02%,591294,7.70B
227,BDC,Belden Inc.,4.69B,0.95%,202141,2.35B
228,IDCC,"InterDigital, Inc.",4.63B,-1.11%,487557,721.23M
229,PONY,Pony AI Inc.,4.61B,1.46%,221609,84.33M
230,ALGM,"Allegro MicroSystems, Inc.",4.53B,2.80%,2474521,772.76M
231,BRZE,"Braze, Inc.",4.51B,2.23%,1040363,563.97M
232,ZETA,Zeta Global Holdings Corp.,4.46B,1.95%,2658388,901.40M
233,AI,"C3.ai, Inc.",4.41B,1.24%,3324231,346.54M
234,AVT,"Avnet, Inc.",4.38B,1.20%,702082,22.48B
235,EEFT,"Euronet Worldwide, Inc.",4.37B,0.57%,378339,3.90B
236,CAMT,Camtek Ltd.,4.25B,6.05%,369782,400.63M
237,GBTG,"Global Business Travel Group, Inc.",4.23B,0.11%,403794,2.38B
238,BL,"BlackLine, Inc.",4.10B,1.66%,357175,639.61M
239,FROG,JFrog Ltd.,4.05B,-0.08%,834106,409.67M
240,PAY,"Paymentus Holdings, Inc.",4.01B,-1.05%,266402,778.67M
241,DXC,DXC Technology Company,4.00B,-2.21%,2604369,13.09B
242,PYCR,"Paycor HCM, Inc.",3.99B,0.05%,5965552,699.73M
243,DOCN,"DigitalOcean Holdings, Inc.",3.96B,5.22%,1579342,756.56M
244,PAYO,Payoneer Global Inc.,3.94B,1.94%,2644440,940.30M
245,BLKB,"Blackbaud, Inc.",3.91B,0.08%,231341,1.15B
246,ASGN,ASGN Incorporated,3.88B,1.01%,470894,4.10B
247,RGTI,"Rigetti Computing, Inc.",3.87B,0.80%,117094617,11.89M
248,PLXS,Plexus Corp.,3.85B,1.46%,196612,3.95B
249,ST,Sensata Technologies Holding plc,3.83B,-0.58%,1080445,4.02B
250,NCNO,"nCino, Inc.",3.79B,-0.06%,1299652,522.98M
251,DLO,DLocal Limited,3.78B,0.76%,575015,729.49M
252,DV,"DoubleVerify Holdings, Inc.",3.73B,1.80%,854477,638.46M
253,RUM,Rumble Inc.,3.73B,2.50%,2705204,85.65M
254,CLVT,Clarivate Plc,3.68B,0.78%,11917631,2.58B
255,AVPT,"AvePoint, Inc.",3.64B,1.57%,1101654,315.92M
256,KC,Kingsoft Cloud Holdings Limited,3.60B,2.77%,7908233,1.04B
257,PI,"Impinj, Inc.",3.59B,0.40%,1322609,366.09M
258,ZI,ZoomInfo Technologies Inc.,3.59B,0.24%,2753101,1.22B
259,ALKT,"Alkami Technology, Inc.",3.57B,-,603979,315.56M
260,POWI,"Power Integrations, Inc.",3.55B,2.11%,327606,403.23M
261,CORZ,"Core Scientific, Inc.",3.55B,4.10%,7630308,557.68M
262,ALIT,"Alight, Inc.",3.53B,-0.60%,6376387,3.36B
263,ESE,ESCO Technologies Inc.,3.45B,1.10%,54353,1.03B
264,OSIS,"OSI Systems, Inc.",3.43B,2.30%,224651,1.65B
265,LPL,"LG Display Co., Ltd.",3.35B,2.24%,201982,18.02B
266,LIF,"Life360, Inc.",3.33B,0.50%,144885,342.92M
267,AMBA,"Ambarella, Inc.",3.28B,3.05%,598376,252.47M
268,FIVN,"Five9, Inc.",3.22B,0.36%,1230015,1.00B
269,YOU,"Clear Secure, Inc.",3.21B,-1.92%,1174630,735.18M
270,GRND,Grindr Inc.,3.19B,-,574261,319.10M
271,FORM,"FormFactor, Inc.",3.18B,3.84%,1167830,763.60M
272,RNG,"RingCentral, Inc.",3.15B,0.95%,592584,2.36B
273,CNXC,Concentrix Corporation,3.14B,-0.57%,522396,9.62B
274,IPGP,IPG Photonics Corporation,3.10B,1.11%,115416,1.04B
275,ALRM,"Alarm.com Holdings, Inc.",3.10B,0.29%,245837,923.82M
276,TDC,Teradata Corporation,3.03B,-0.85%,673083,1.80B
277,BB,BlackBerry Limited,3.00B,9.96%,29248731,638.00M
278,SYNA,Synaptics Incorporated,2.97B,2.11%,1119538,979.40M
279,VIAV,Viavi Solutions Inc.,2.81B,1.28%,2734815,1.01B
280,PAR,PAR Technology Corporation,2.80B,0.81%,270223,453.99M
281,CALX,"Calix, Inc.",2.80B,3.48%,611581,831.52M
282,STNE,StoneCo Ltd.,2.77B,-0.53%,4190861,2.27B
283,ODD,Oddity Tech Ltd.,2.73B,-1.36%,356106,620.65M
284,DIOD,Diodes Incorporated,2.71B,2.79%,273545,1.29B
285,SWI,SolarWinds Corporation,2.59B,1.27%,319359,784.73M
286,APPN,Appian Corporation,2.57B,1.03%,273920,595.66M
287,WNS,WNS (Holdings) Limited,2.57B,0.12%,412381,1.32B
288,SEMR,"Semrush Holdings, Inc.",2.56B,-0.34%,547133,357.57M
289,TTMI,"TTM Technologies, Inc.",2.53B,1.98%,1133412,2.44B
290,PRGS,Progress Software Corporation,2.50B,0.52%,533978,753.41M
291,VSH,"Vishay Intertechnology, Inc.",2.48B,9.86%,4285274,2.94B
292,RPD,"Rapid7, Inc.",2.48B,1.26%,646821,833.01M
293,FLYW,Flywire Corporation,2.45B,-0.45%,965789,475.14M
294,PAGS,PagSeguro Digital Ltd.,2.45B,0.13%,5159941,3.23B
295,AGYS,"Agilysys, Inc.",2.44B,0.99%,258441,263.57M
