,Symbol,Company Name,Market Cap,% Change,Volume,Revenue
146,EFXT,Enerflex Ltd.,1.17B,1.18%,283642,2.42B
147,ACDC,ProFrac Holding Corp.,1.17B,-3.44%,284819,2.23B
148,NVGS,Navigator Holdings Ltd.,1.15B,-2.48%,92485,564.28M
149,VTLE,"Vital Energy, Inc.",1.14B,-0.03%,518896,1.86B
150,INVX,"Innovex International, Inc.",1.11B,1.98%,415491,543.31M
151,MRC,MRC Global Inc.,1.09B,-4.41%,893931,3.20B
152,UUUU,Energy Fuels Inc.,1.02B,2.37%,7466751,38.66M
153,LPG,Dorian LPG Ltd.,1.00B,-0.81%,596004,416.95M
154,VTOL,Bristow Group Inc.,994.82M,-0.83%,57322,1.37B
155,SBR,Sabine Royalty Trust,980.90M,-0.01%,12752,97.97M
156,PARR,"Par Pacific Holdings, Inc.",918.17M,-3.19%,629781,8.33B
157,NESR,National Energy Services Reunited Corp.,896.25M,0.16%,114637,1.27B
158,PUMP,ProPetro Holding Corp.,884.17M,-2.39%,693500,1.47B
159,CAPL,CrossAmerica Partners LP,856.05M,0.45%,11173,3.86B
160,DEC,Diversified Energy Company PLC,851.80M,-1.15%,89844,699.47M
161,BORR,Borr Drilling Limited,808.67M,-4.13%,5101921,968.10M
162,GRNT,"Granite Ridge Resources, Inc.",791.00M,-1.31%,226021,358.52M
163,CLB,Core Laboratories Inc.,778.43M,-0.72%,302016,523.85M
164,TXO,"TXO Partners, L.P.",771.63M,-0.74%,33663,285.45M
165,PDS,Precision Drilling Corporation,770.16M,-0.76%,82304,1.44B
166,VTS,"Vitesse Energy, Inc.",769.31M,-2.03%,108155,232.52M
167,CLNE,Clean Energy Fuels Corp.,761.99M,-1.74%,2043282,413.40M
168,NGL,NGL Energy Partners LP,730.03M,-0.18%,334415,6.24B
169,REPX,"Riley Exploration Permian, Inc.",688.31M,-0.53%,95200,407.32M
170,TK,Teekay Corporation Ltd.,621.74M,-1.25%,304978,1.30B
171,NPKI,NPK International Inc.,566.56M,-3.11%,578587,748.37M
172,NAT,Nordic American Tankers Limited,565.84M,-1.09%,946213,367.47M
173,TTI,"TETRA Technologies, Inc.",560.19M,-2.07%,483751,617.73M
174,TEN,Tsakos Energy Navigation Limited,540.54M,-1.40%,160818,836.04M
175,EU,enCore Energy Corp.,539.34M,-2.35%,1402807,44.97M
176,NOA,North American Construction Group Ltd.,506.80M,1.01%,37144,874.21M
177,PBT,Permian Basin Royalty Trust,504.31M,-1.01%,66258,37.74M
178,NBR,Nabors Industries Ltd.,497.15M,-4.14%,321724,2.93B
179,HNRG,Hallador Energy Company,458.56M,0.09%,259952,429.36M
180,SMC,Summit Midstream Corporation,454.27M,-2.58%,61902,450.86M
181,GFR,Greenfire Resources Ltd.,448.77M,-,89375,551.35M
182,GPRK,GeoPark Limited,446.40M,-3.22%,480638,716.84M
183,SD,"SandRidge Energy, Inc.",437.37M,-0.68%,184384,120.24M
184,SGU,"Star Group, L.P.",425.52M,-0.97%,11747,1.73B
185,EGY,"VAALCO Energy, Inc.",425.35M,1.22%,466226,506.42M
186,CLCO,Cool Company Ltd.,396.65M,-0.67%,160854,333.65M
187,OBE,Obsidian Energy Ltd.,383.47M,-0.38%,371433,516.16M
188,TBN,Tamboran Resources Corporation,382.40M,8.15%,28664,-
189,URG,Ur-Energy Inc.,368.71M,-0.99%,2270104,16.49M
190,RNGR,"Ranger Energy Services, Inc.",367.27M,0.12%,85400,579.50M
191,PNRG,PrimeEnergy Resources Corporation,338.55M,-3.75%,17755,210.06M
