,Symbol,Company Name,Market Cap,% Change,Volume,Revenue
168,HII,"Huntington Ingalls Industries, Inc.",6.46B,-1.56%,106562,11.54B
169,MSA,MSA Safety Incorporated,6.43B,-1.14%,48009,1.80B
170,SITE,"SiteOne Landscape Supply, Inc.",6.17B,1.03%,372024,4.54B
171,ZWS,Zurn Elkay Water Solutions Corporation,6.13B,-2.20%,2014921,1.57B
172,KEX,Kirby Corporation,6.12B,-0.73%,119415,3.27B
173,MOG.B,Moog Inc.,6.06B,-0.66%,1156,3.66B
174,MOG.A,Moog Inc.,5.96B,-1.56%,34631,3.66B
175,RHI,Robert Half Inc.,5.95B,-1.03%,201225,5.80B
176,FSS,Federal Signal Corporation,5.93B,-1.25%,116539,1.84B
177,GATX,GATX Corporation,5.87B,-1.82%,21200,1.59B
178,HRI,Herc Holdings Inc.,5.80B,-1.60%,84895,3.45B
179,TKR,The Timken Company,5.68B,-1.39%,147499,4.57B
180,GTES,Gates Industrial Corporation plc,5.65B,-1.09%,482185,3.41B
181,LSTR,"Landstar System, Inc.",5.63B,-1.10%,39443,4.83B
182,JOBY,"Joby Aviation, Inc.",5.61B,-0.34%,3502541,1.11M
183,DY,"Dycom Industries, Inc.",5.55B,-3.00%,50434,4.57B
184,BE,Bloom Energy Corporation,5.40B,-2.41%,1294371,1.26B
185,CSWI,"CSW Industrials, Inc.",5.34B,-1.86%,64206,858.61M
186,HXL,Hexcel Corporation,5.32B,-0.85%,120789,1.90B
187,BBU,Brookfield Business Partners L.P.,5.20B,-0.29%,3461,40.62B
188,AMTM,"Amentum Holdings, Inc.",5.13B,1.64%,532931,9.82B
189,GXO,"GXO Logistics, Inc.",5.11B,-0.71%,324258,11.05B
190,AL,Air Lease Corporation,5.06B,-0.78%,108042,2.74B
191,SNDR,"Schneider National, Inc.",4.95B,-1.28%,118259,5.29B
192,AVAV,"AeroVironment, Inc.",4.92B,-2.06%,53796,761.50M
193,ACA,"Arcosa, Inc.",4.89B,-2.49%,78494,2.49B
194,ACHR,Archer Aviation Inc.,4.79B,1.88%,18577961,-
195,KTOS,"Kratos Defense & Security Solutions, Inc.",4.79B,-2.15%,554775,1.13B
196,MATX,"Matson, Inc.",4.66B,-1.24%,67564,3.32B
197,TNET,"TriNet Group, Inc.",4.63B,1.38%,91749,4.97B
198,EXPO,"Exponent, Inc.",4.63B,0.13%,2626,518.49M
199,FELE,"Franklin Electric Co., Inc.",4.58B,-1.15%,25518,2.01B
200,ROAD,"Construction Partners, Inc.",4.54B,-0.10%,146533,1.99B
201,MSM,"MSC Industrial Direct Co., Inc.",4.50B,-0.86%,64324,3.80B
202,SKYW,"SkyWest, Inc.",4.47B,-0.90%,122289,3.53B
203,CBZ,"CBIZ, Inc.",4.40B,0.02%,87326,1.68B
204,IESC,"IES Holdings, Inc.",4.38B,0.05%,189844,3.00B
205,STRL,"Sterling Infrastructure, Inc.",4.36B,-2.16%,159647,2.10B
206,VRRM,Verra Mobility Corporation,4.31B,-0.92%,158932,868.72M
207,KAI,Kadant Inc.,4.21B,-2.03%,34918,1.03B
208,AEIS,"Advanced Energy Industries, Inc.",4.12B,-2.41%,60329,1.47B
209,UNF,UniFirst Corporation,4.09B,-0.32%,18574,2.44B
210,MWA,"Mueller Water Products, Inc.",4.08B,-3.48%,414060,1.36B
211,BCO,The Brink's Company,4.06B,0.03%,57096,4.99B
212,SPR,"Spirit AeroSystems Holdings, Inc.",4.04B,-0.19%,663275,6.48B
213,PRIM,Primoris Services Corporation,4.02B,-3.19%,88440,6.14B
214,ENS,EnerSys,3.97B,-0.98%,52590,3.55B
215,NPO,Enpro Inc.,3.94B,-2.64%,13142,1.04B
216,GEO,"The GEO Group, Inc.",3.87B,4.46%,240232,2.42B
217,MMS,"Maximus, Inc.",3.83B,-1.02%,124831,5.38B
218,GVA,Granite Construction Incorporated,3.83B,-0.12%,100778,3.96B
219,OMAB,"Grupo Aeroportuario del Centro Norte, S.A.B. de C.V.",3.81B,0.58%,14916,748.99M
220,GFF,Griffon Corporation,3.72B,-1.99%,78416,2.61B
221,CPA,"Copa Holdings, S.A.",3.71B,0.07%,129078,3.48B
222,MIR,"Mirion Technologies, Inc.",3.52B,2.10%,1418894,860.80M
223,BRC,Brady Corporation,3.51B,-0.58%,987,1.39B
224,KFY,Korn Ferry,3.44B,-2.05%,80319,2.71B
225,MDU,"MDU Resources Group, Inc.",3.42B,-1.29%,467146,1.76B
226,FA,First Advantage Corporation,3.42B,-1.69%,280243,755.64M
227,CXT,"Crane NXT, Co.",3.35B,-2.26%,156068,1.44B
228,ABM,ABM Industries Incorporated,3.34B,-0.96%,48928,8.36B
229,ATMU,Atmus Filtration Technologies Inc.,3.32B,-3.36%,166994,1.66B
230,RXO,"RXO, Inc.",3.31B,-2.44%,258316,4.55B
231,GMS,GMS Inc.,3.23B,-1.42%,101823,5.59B
232,NSP,"Insperity, Inc.",3.19B,-0.06%,102307,6.58B
233,HEES,"H&E Equipment Services, Inc.",3.19B,-0.33%,189873,1.52B
234,REZI,"Resideo Technologies, Inc.",3.12B,-4.28%,129717,6.44B
